# Former Members' Allowance Expenditure April 2005 - May 2005
# Member, Constituency, Cost of staying away from main home,
#	London Supplement, Office running costs*, Staffing costs*,
#	Members' travel, Members' staff travel, Centrally purchased
#	stationery, Stationery: associated postage, Central IT
#	provision, WUA and other costs

Adams, Mrs Irene	Paisley North	£1,600	£0	£4,760	£9,254	£1,062	£664	£0	£0	£0	£33,720
Allan, Mr Richard	Sheffield, Hallam	£300	£0	£1,135	£9,103	£199	£0	£0	£0	£0	£18,730
Anderson, Rt Hon Donald	Swansea East	£1,613	£0	£725	£25,096	£497	£0	£0	£0	£465	£17,583
Atherton, Ms Candy	Falmouth & Camborne	£654	£0	£4,314	£17,002	£248	£0	£15	£0	£0	£30,590
Atkinson, Mr David	Bournemouth East	£1,368	£0	£302	£10,557	£272	£60	£0	£0	£996	£6,936
Barnes, Mr Harry	North East Derbyshire	£612	£0	£1,181	£18,712	£214	£166	£0	£0	£0	£34,533
Beard, Mr Nigel	Bexleyheath & Crayford	£0	£0	£0	£19,317	£193	£0	£0	£0	£737	£29,265
Beggs, Mr Roy	East Antrim	£938	£0	£2,206	£18,251	£92	£0	£0	£0	£1,399	£34,694
Bennett, Andrew	Denton & Reddish	£1,419	£0	£0	£17,651	£186	£288	£0	£0	£322	£10,100
Best, Mr Harold	Leeds North West	£0	£0	£762	£11,790	£239	£0	£0	£0	£0	£22,262
Boateng, Rt Hon Paul	Brent South	£0	£0	£623	£6,205	£30	£0	£0	£0	£0	£16,017
Bottomley, Rt Hon Virginia	South West Surrey	£400	£0	£1,191	£8,191	£150	£10	£12	£0	£0	£20,255
Bradley, Rt Hon Keith	Manchester, Withington	£1,126	£0	£4,673	£6,892	£0	£0	£100	£0	£0	£26,207
Bradley, Peter	Wrekin, The	£2,605	£0	£161	£10,780	£189	£0	£12	£0	£0	£19,150
Burnside, David	South Antrim	£911	£0	£5,000	£20,254	£804	£0	£12	£350	£0	£34,068
Burnett, Mr John	Torridge & West Devon	£4,907	£0	£3,100	£17,529	£791	£0	£0	£0	£0	£34,504
