"id","title","forename","surname","region","party","type","oath_date","died_retired_date","year_created","d_o_b","Hansard_name","ex_MP"
1,"Lord","Morys","Aberdare",,"Con","HD",,23/01/2005 00:00:00,1957,16/06/1919 00:00:00,"Aberdare, L.","N"
2,"Lord","Desmond","Ackner",,"XB","A",,,1986,18/09/1920 00:00:00,"Ackner, L.","N"
3,"Lord","Richard","Acton",,"Lab","L",17/04/2000 00:00:00,,2000,30/07/1941 00:00:00,"Acton, L.","N"
4,"Lord","Dominic","Addington",,"Dem","HP",,,1982,24/08/1963 00:00:00,"Addington, L.","N"
5,"Lord","Victor","Adebowale",,"XB","L",24/10/2001 00:00:00,,2001,21/07/1962 00:00:00,"Adebowale, L.","N"
6,"Lord","Nazir","Ahmed",,"Lab","L",,,1998,24/04/1957 00:00:00,"Ahmed, L.","N"
7,"Lord","John","Alderdice",,"Dem","L",,,1996,28/03/1955 00:00:00,"Alderdice, L.","N"
8,"Lord","Robert","Alexander","of Weedon","Con","L",,,1988,05/09/1936 00:00:00,"Alexander of Weedon, L.","N"
9,"Lord","Philip","Allen","of Abbeydale","XB","L",,,1976,08/06/1912 00:00:00,"Allen of Abbeydale, L.","N"
10,"Viscount","Michael","Allenby","of Megiddo","XB","HP",,,1984,20/04/1931 00:00:00,"Allenby of Megiddo, V.","N"
11,"Lord","Waheed","Alli",,"Lab","L",,,1998,16/11/1964 00:00:00,"Alli, L.","N"
12,"Lord","David","Alton","of Liverpool","XB","L",,,1997,15/03/1951 00:00:00,"Alton of Liverpool, L.","Y"
13,"Baroness","Valerie","Amos",,"Lab","L",,,1997,13/03/1954 00:00:00,"Amos, B.","N"
14,"Lord","Geoffrey","Ampthill",,"XB","HD",,,1973,15/10/1921 00:00:00,"Ampthill, L.","N"
15,"Baroness","Kay","Andrews",,"Lab","L",22/05/2000 00:00:00,,2000,16/05/1943 00:00:00,"Andrews, B.","N"
16,"Baroness","Joyce","Anelay","of St Johns","Con","L",,,1996,17/07/1947 00:00:00,"Anelay of St Johns, B.","N"
17,"Lord","Peter","Archer","of Sandwell","Lab","L",,,1992,20/11/1926 00:00:00,"Archer of Sandwell, L.","Y"
18,"Lord","Jeffrey","Archer","of Weston-Super-Mare","Other","L",,,1992,15/04/1940 00:00:00,"Archer of Weston-Super-Mare, L.","Y"
19,"Lord","Robert","Armstrong","of Ilminster","XB","L",,,1982,30/03/1927 00:00:00,"Armstrong of Ilminster, L.","N"
20,"Earl","Arthur","Arran",,"Con","HP",,,1983,14/07/1938 00:00:00,"Arran, E.","N"
21,"Lord","Michael","Ashcroft",,"Con","L",24/10/2000 00:00:00,,2000,04/03/1946 00:00:00,"Ashcroft, L.","N"
22,"Lord","Paddy","Ashdown","of Norton-sub-Hamdon","Dem","L",24/07/2001 00:00:00,,2001,27/02/1941 00:00:00,"Ashdown of Norton-sub-Hamdon, L.","Y"
23,"Lord","Jack","Ashley","of Stoke","Lab","L",,,1992,06/12/1922 00:00:00,"Ashley of Stoke, L.","Y"
24,"Baroness","Catherine","Ashton","of Upholland","Lab","L",,,1999,20/03/1956 00:00:00,"Ashton of Upholland, B.","N"
25,"Viscount","William","Astor",,"Con","HP",,,1966,27/12/1951 00:00:00,"Astor, V.","N"
26,"Lord","John","Astor","of Hever","Con","HP",,,1984,16/06/1946 00:00:00,"Astor of Hever, L.","N"
27,"Lord","Richard","Attenborough",,"Lab","L",,,1993,29/08/1923 00:00:00,"Attenborough, L.","N"
28,"Earl","John","Attlee",,"Con","HP",,,1991,03/10/1956 00:00:00,"Attlee, E.","N"
29,"Lord","Eric","Avebury",,"Dem","HP",,,1971,29/09/1928 00:00:00,"Avebury, L.","Y"
30,"Lord","Willy","Bach",,"Lab","L",,,1998,25/12/1946 00:00:00,"Bach, L.","N"
31,"Lord","Raj","Bagri",,"Con","L",,,1997,24/08/1930 00:00:00,"Bagri, L.","N"
32,"Lord","Kenneth","Baker","of Dorking","Con","L",,,1997,03/10/1934 00:00:00,"Baker of Dorking, L.","Y"
33,"Earl","Edward","Baldwin","of Bewdley","XB","HP",,,1976,03/01/1938 00:00:00,"Baldwin of Bewdley, E.","N"
34,"Lord","Anthony","Barber",,"Con","L",,,1974,04/07/1920 00:00:00,"Barber, L.","Y"
35,"Lord","Derek","Barber","of Tewkesbury","XB","L",,,1992,17/06/1918 00:00:00,"Barber of Tewkesbury, L.","N"
36,"Baroness","Elizabeth","Barker",,"Dem","L",,,1999,31/01/1961 00:00:00,"Barker, B.","N"
37,"Lord","Joel","Barnett",,"Lab","L",,,1983,14/10/1923 00:00:00,"Barnett, L.","Y"
38,"Lord","Steve","Bassam","of Brighton","Lab","L",,,1997,11/06/1953 00:00:00,"Bassam of Brighton, L.","N"
39,"Lord","Timothy","Beaumont","of Whitley","Green","L",,,1967,22/11/1928 00:00:00,"Beaumont of Whitley, L.","N"
40,"Lord","Timothy","Bell",,"Con","L",,,1998,18/10/1941 00:00:00,"Bell, L.","N"
41,"Lord","John","Belstead",,"Con","L",,,1958,30/09/1932 00:00:00,"Belstead, L.","N"
42,"Lord","Tony","Berkeley",,"Lab","L",02/05/2000 00:00:00,,2000,20/09/1939 00:00:00,"Berkeley, L.","N"
43,"Lord","Alex","Bernstein","of Craigweil","Lab","L",22/05/2000 00:00:00,,2000,15/03/1936 00:00:00,"Bernstein of Craigweil, L.","N"
44,"Lord","Richard","Best",,"XB","L",26/06/2001 00:00:00,,2001,22/06/1945 00:00:00,"Best, L.","N"
45,"Lord","Amirali","Bhatia",,"XB","L",09/07/2001 00:00:00,,2001,18/03/1932 00:00:00,"Bhatia, L.","N"
46,"Lord","John","Biffen",,"Con","L",,,1997,03/11/1930 00:00:00,"Biffen, L.","Y"
47,"Baroness","Angela","Billingham",,"Lab","L",09/05/2000 00:00:00,,2000,31/07/1939 00:00:00,"Billingham, B.","N"
48,"Lord","Thomas","Bingham","of Cornhill","XB","L",,,1996,13/10/1933 00:00:00,"Bingham of Cornhill, L.","N"
49,"Lord","John","Birt",,"XB","L",07/03/2000 00:00:00,,2000,10/12/1944 00:00:00,"Birt, L.","N"
50,"Lord","Conrad","Black","of Crossharbour","Con","L",31/10/2001 00:00:00,,2001,25/08/1944 00:00:00,"Black of Crossharbour, L.","N"
51,"Bishop of","Alan Chesters","Blackburn",,"Bp","B",,31/08/2003 00:00:00,2002,26/08/1937 00:00:00,"Blackburn, Bp.","N"
52,"Baroness","Tessa","Blackstone",,"Lab","L",,,1987,27/09/1942 00:00:00,"Blackstone, B.","N"
53,"Lord","Norman","Blackwell",,"Con","L",,,1997,29/07/1952 00:00:00,"Blackwell, L.","N"
54,"Lord","Robert","Blake",,"Con","L",,20/09/2003 00:00:00,1971,23/12/1916 00:00:00,"Blake, L.","N"
55,"Lord","Peter","Blaker",,"Con","L",,,1994,04/10/1922 00:00:00,"Blaker, L.","Y"
56,"Baroness","Emily","Blatch",,"Con","L",,31/05/2005 00:00:00,1987,24/07/1937 00:00:00,"Blatch, B.","N"
57,"Lord","William","Blease",,"Lab","L",,,1978,28/05/1914 00:00:00,"Blease, L.","N"
58,"Viscount","Christopher","Bledisloe",,"XB","HP",,,1979,24/06/1934 00:00:00,"Bledisloe, V.","N"
59,"Baroness","May","Blood",,"XB","L",,,1999,26/05/1938 00:00:00,"Blood, B.","N"
60,"Lord","James","Blyth","of Rowington","Con","L",,,1995,08/05/1940 00:00:00,"Blyth of Rowington, L.","N"
61,"Lord","Thomas","Boardman",,"Con","L",,10/03/2003 00:00:00,1980,12/01/1919 00:00:00,"Boardman, L.","Y"
62,"Baroness","Betty","Boothroyd",,"XB","L",16/01/2001 00:00:00,,2001,08/10/1929 00:00:00,"Boothroyd, B.","Y"
63,"Lord","Gordon","Borrie",,"Lab","L",,,1995,13/03/1931 00:00:00,"Borrie, L.","N"
64,"Lord","Terence","Boston","of Faversham","XB","L",,,1976,21/03/1930 00:00:00,"Boston of Faversham, L.","Y"
65,"Lord","Peter","Bowness",,"Con","L",,,1996,19/05/1943 00:00:00,"Bowness, L.","N"
66,"Lord","Michael","Boyce",,"XB","L",30/06/2003 00:00:00,,2003,02/04/1943 00:00:00,"Boyce, L.","N"
